EmployeeID,JobLevel,Department,MonthlyIncome,,,
123,5,Research & Development,28970,,,
124,2,Research & Development,59680,,,
125,2,Sales,75100,,,
126,1,Research & Development,29910,,,
127,5,Research & Development,196360,,,
128,3,Sales,11290,,,
129,1,Research & Development,133410,,,
130,3,Research & Development,43320,,,
131,4,Research & Development,110310,,,
132,3,Sales,44400,,,
133,1,Sales,46170,,,
134,1,Sales,26470,,,
135,2,Human Resources,63230,,,
136,1,Research & Development,56770,,,
137,3,Research & Development,21870,,,
138,1,Sales,37480,,,
139,2,Sales,39770,,,
140,1,Human Resources,86330,,,
141,3,Research & Development,20080,,,
142,3,Research & Development,44400,,,
143,1,Research & Development,30670,,,
144,3,Research & Development,53210,,,
145,2,Sales,54100,,,
146,3,Research & Development,27820,,,
147,3,Research & Development,119570,,,
148,3,Research & Development,26600,,,
149,2,Research & Development,33750,,,
150,1,Research & Development,50980,,,
151,2,Research & Development,48780,,,
152,2,Sales,28370,,,
153,1,Sales,24060,,,
154,1,Research & Development,22690,,,
155,1,Sales,41080,,,
156,4,Research & Development,132060,,,
157,1,Research & Development,104220,,,
158,2,Research & Development,137440,,,
159,2,Sales,49070,,,
160,1,Sales,34820,,,
161,4,Research & Development,24360,,,
162,2,Research & Development,23800,,,
163,3,Research & Development,194310,,,
164,3,Research & Development,17900,,,
165,1,Research & Development,76440,,,
166,3,Research & Development,51310,,,
167,4,Research & Development,63060,,,
168,3,Sales,47870,,,
169,3,Sales,188800,,,
170,4,Research & Development,23390,,,
171,5,Research & Development,135700,,,
172,1,Sales,67120,,,
173,2,Research & Development,54060,,,
174,2,Research & Development,89380,,,
175,1,Sales,24390,,,
176,1,Research & Development,88370,,,
177,2,Research & Development,53430,,,
178,4,Research & Development,67280,,,
179,2,Sales,66520,,,
180,1,Research & Development,48500,,,
181,2,Research & Development,28090,,,
182,2,Research & Development,56890,,,
183,1,Sales,20010,,,
184,1,Research & Development,29770,,,
185,1,Research & Development,40250,,,
186,2,Research & Development,37850,,,
187,1,Research & Development,108540,,,
188,1,Research & Development,120310,,,
189,2,Research & Development,99360,,,
190,1,Research & Development,29660,,,
191,2,Research & Development,25710,,,
192,1,Research & Development,99910,,,
193,3,Research & Development,61420,,,
194,3,Research & Development,53900,,,
195,4,Research & Development,44040,,,
196,2,Research & Development,59930,,,
197,1,Research & Development,51300,,,
198,1,Research & Development,20900,,,
199,1,Research & Development,29090,,,
200,1,Research & Development,34680,,,
201,2,Research & Development,30680,,,
202,2,Research & Development,26700,,,
203,3,Research & Development,26930,,,
204,2,Research & Development,95260,,,
205,1,Research & Development,52370,,,
206,2,Sales,24260,,,
207,1,Research & Development,41930,,,
208,5,Research & Development,29110,,,
209,1,Research & Development,26610,,,
210,1,Research & Development,20280,,,
211,1,Sales,99800,,,
212,2,Research & Development,32980,,,
213,1,Sales,29350,,,
214,1,Research & Development,154270,,,
215,5,Research & Development,39440,,,
216,1,Sales,40110,,,
217,1,Sales,34070,,,
218,4,Research & Development,119940,,,
219,1,Sales,12320,,,
220,1,Sales,29600,,,
221,1,Research & Development,190940,,,
222,2,Research & Development,39190,,,
223,2,Research & Development,68250,,,
224,4,Sales,102480,,,
225,1,Research & Development,189470,,,
226,5,Research & Development,24960,,,
227,2,Sales,64650,,,
228,1,Sales,22060,,,
229,2,Sales,20860,,,
230,1,Research & Development,22930,,,
231,2,Research & Development,26450,,,
232,2,Research & Development,26830,,,
233,1,Human Resources,20140,,,
234,2,Sales,34190,,,
235,2,Research & Development,53760,,,
236,2,Sales,19510,,,
237,1,Research & Development,23410,,,
238,2,Sales,22930,,,
239,3,Sales,87260,,,
240,1,Research & Development,40110,,,
241,2,Research & Development,195450,,,
242,2,Sales,45680,,,
243,1,Research & Development,30220,,,
244,3,Research & Development,57720,,,
245,3,Research & Development,22690,,,
246,1,Research & Development,53810,,,
247,3,Research & Development,34410,,,
248,1,Research & Development,54540,,,
249,1,Research & Development,98840,,,
250,1,Research & Development,41570,,,
251,4,Research & Development,134580,,,
252,2,Research & Development,90690,,,
253,2,Research & Development,40140,,,
254,2,Research & Development,59150,,,
255,5,Sales,59930,,,
256,5,Research & Development,61620,,,
257,1,Research & Development,24060,,,
258,1,Research & Development,187400,,,
259,1,Research & Development,76370,,,
260,2,Research & Development,100960,,,
261,5,Research & Development,147560,,,
262,4,Sales,64990,,,
263,1,Research & Development,97240,,,
264,5,Sales,21940,,,
265,3,Research & Development,33880,,,
266,1,Sales,54730,,,
267,1,Research & Development,27030,,,
268,1,Research & Development,25010,,,
269,1,Research & Development,62200,,,
270,5,Research & Development,30380,,,
271,4,Research & Development,44240,,,
272,1,Research & Development,43120,,,
273,5,Research & Development,132450,,,
274,2,Sales,136640,,,
275,5,Research & Development,50210,,,
276,3,Research & Development,51260,,,
277,2,Research & Development,28590,,,
278,1,Sales,102390,,,
279,5,Research & Development,53290,,,
280,2,Research & Development,43250,,,
281,1,Research & Development,72600,,,
282,2,Sales,23220,,,
283,3,Sales,20750,,,
284,2,Research & Development,41520,,,
285,3,Research & Development,96190,,,
286,1,Research & Development,135030,,,
287,1,Research & Development,54410,,,
288,2,Research & Development,52090,,,
289,1,Research & Development,106730,,,
290,1,Research & Development,50100,,,
291,1,Research & Development,135490,,,
292,2,Research & Development,49990,,,
293,5,Sales,42210,,,
294,4,Sales,138720,,,
295,1,Research & Development,20420,,,
296,2,Sales,20730,,,
297,1,Research & Development,29560,,,
298,2,Sales,29260,,,
299,3,Research & Development,48090,,,
300,1,Research & Development,51630,,,
301,2,Sales,188440,,,
302,4,Sales,181720,,,
303,3,Research & Development,57440,,,
304,3,Sales,28890,,,
305,3,Research & Development,28710,,,
306,2,Research & Development,74840,,,
307,3,Sales,60740,,,
308,2,Research & Development,173280,,,
309,1,Research & Development,27740,,,
310,1,Research & Development,45050,,,
311,4,Human Resources,74280,,,
312,5,Research & Development,116310,,,
313,5,Research & Development,97380,,,
314,1,Research & Development,28350,,,
315,3,Research & Development,169590,,,
316,2,Research & Development,26130,,,
317,2,Research & Development,61460,,,
318,2,Research & Development,49630,,,
319,4,Research & Development,195370,,,
320,2,Sales,61720,,,
321,2,Sales,23680,,,
322,1,Sales,103120,,,
323,3,Research & Development,16750,,,
324,1,Research & Development,25230,,,
325,2,Research & Development,65670,,,
326,3,Research & Development,47390,,,
327,1,Research & Development,92080,,,
328,4,Sales,45590,,,
329,1,Sales,81890,,,
330,2,Research & Development,29420,,,
331,2,Research & Development,49410,,,
332,4,Sales,106500,,,
333,4,Research & Development,59020,,,
334,1,Research & Development,86390,,,
335,2,Research & Development,63470,,,
336,2,Sales,42000,,,
337,1,Research & Development,34520,,,
338,2,Research & Development,43170,,,
339,1,Sales,26320,,,
340,2,Sales,46680,,,
341,2,Research & Development,32040,,,
342,2,Research & Development,27200,,,
343,2,Research & Development,171810,,,
344,3,Sales,22380,,,
345,2,Research & Development,14830,,,
346,1,Research & Development,56050,,,
347,2,Research & Development,72950,,,
348,2,Sales,23060,,,
349,3,Research & Development,23480,,,
350,2,Sales,89980,,,
351,4,Human Resources,43190,,,
352,2,Research & Development,61320,,,
353,2,Sales,33460,,,
354,1,Research & Development,108550,,,
355,1,Sales,22310,,,
356,4,Sales,23230,,,
357,1,Research & Development,20240,,,
358,1,Sales,27130,,,
359,3,Sales,94390,,,
360,1,Sales,25660,,,
361,1,Research & Development,199260,,,
362,3,Research & Development,24510,,,
363,2,Sales,94190,,,
364,3,Sales,86860,,,
365,4,Research & Development,30380,,,
366,5,Research & Development,30580,,,
367,4,Sales,23250,,,
368,2,Research & Development,20880,,,
369,1,Sales,30720,,,
370,2,Research & Development,50060,,,
371,4,Sales,42570,,,
372,1,Research & Development,25000,,,
373,1,Research & Development,11020,,,
374,1,Research & Development,104530,,,
375,2,Sales,22880,,,
376,2,Research & Development,39290,,,
377,1,Sales,23110,,,
378,1,Research & Development,31400,,,
379,1,Sales,36900,,,
380,1,Research & Development,44500,,,
381,4,Sales,27560,,,
382,2,Sales,190330,,,
383,2,Research & Development,187220,,,
384,1,Research & Development,95470,,,
385,1,Sales,137340,,,
386,2,Research & Development,199990,,,
387,3,Research & Development,22790,,,
388,3,Sales,59160,,,
389,1,Research & Development,20890,,,
390,3,Research & Development,167920,,,
391,3,Research & Development,35640,,,
392,1,Research & Development,44250,,,
393,1,Research & Development,52650,,,
394,3,Sales,65530,,,
395,2,Research & Development,62610,,,
396,1,Research & Development,42980,,,
397,3,Research & Development,68040,,,
398,2,Sales,38150,,,
399,1,Research & Development,27410,,,
400,4,Research & Development,66730,,,
401,2,Research & Development,76390,,,
402,1,Sales,23280,,,
403,1,Sales,21530,,,
404,2,Sales,48760,,,
405,2,Research & Development,93960,,,
406,2,Research & Development,104000,,,
407,1,Research & Development,84740,,,
408,2,Research & Development,99810,,,
409,1,Research & Development,124900,,,
410,2,Research & Development,26570,,,
411,3,Research & Development,135910,,,
412,4,Research & Development,66960,,,
413,1,Research & Development,20580,,,
414,2,Research & Development,88650,,,
415,2,Sales,59400,,,
416,1,Sales,59140,,,
417,1,Research & Development,26220,,,
418,1,Sales,121850,,,
419,3,Research & Development,106090,,,
420,2,Research & Development,43450,,,
421,1,Research & Development,21770,,,
422,2,Research & Development,27930,,,
423,1,Human Resources,79180,,,
424,2,Sales,87890,,,
425,1,Sales,23890,,,
426,1,Research & Development,32120,,,
427,2,Research & Development,192320,,,
428,2,Sales,22670,,,
429,1,Research & Development,195170,,,
430,2,Research & Development,24360,,,
431,2,Research & Development,160640,,,
432,3,Research & Development,27070,,,
433,4,Research & Development,190680,,,
434,1,Sales,39310,,,
435,4,Research & Development,37300,,,
436,3,Research & Development,22320,,,
437,4,Research & Development,44650,,,
438,3,Sales,30720,,,
439,2,Research & Development,33190,,,
440,1,Research & Development,192020,,,
441,3,Human Resources,136750,,,
442,1,Research & Development,29110,,,
443,4,Sales,59570,,,
444,1,Research & Development,39200,,,
445,1,Sales,64340,,,
446,2,Sales,100480,,,
447,2,Sales,109380,,,
448,2,Sales,23400,,,
449,1,Research & Development,65450,,,
450,3,Research & Development,69310,,,
451,2,Sales,48980,,,
452,2,Research & Development,25930,,,
453,4,Sales,194360,,,
454,1,Human Resources,27230,,,
455,2,Research & Development,34790,,,
456,3,Research & Development,27940,,,
457,1,Sales,52490,,,
458,2,Sales,21760,,,
459,1,Sales,168720,,,
460,2,Research & Development,34850,,,
461,1,Sales,66440,,,
462,2,Sales,55820,,,
463,2,Sales,40000,,,
464,2,Research & Development,134960,,,
465,1,Research & Development,32100,,,
466,3,Research & Development,190450,,,
467,1,Sales,118490,,,
468,3,Sales,20700,,,
469,2,Research & Development,65020,,,
470,2,Sales,32300,,,
471,1,Sales,136030,,,
472,1,Research & Development,119960,,,
473,5,Research & Development,56050,,,
474,2,Research & Development,63970,,,
475,1,Research & Development,191440,,,
476,2,Sales,175840,,,
477,2,Research & Development,49070,,,
478,2,Human Resources,45540,,,
479,1,Sales,54150,,,
480,2,Research & Development,47410,,,
481,3,Sales,21150,,,
482,2,Research & Development,31610,,,
483,5,Sales,57450,,,
484,1,Research & Development,23730,,,
485,2,Sales,33100,,,
486,5,Research & Development,186650,,,
487,2,Sales,44850,,,
488,2,Research & Development,27890,,,
489,2,Research & Development,58280,,,
490,1,Research & Development,23260,,,
491,1,Research & Development,135250,,,
492,4,Research & Development,14200,,,
493,1,Research & Development,80200,,,
494,1,Human Resources,36880,,,
495,4,Sales,54820,,,
496,1,Sales,160150,,,
497,5,Sales,12000,,,
498,1,Research & Development,56610,,,
499,2,Research & Development,69290,,,
500,2,Sales,96130,,,
501,2,Research & Development,56740,,,
502,2,Research & Development,54840,,,
503,2,Sales,120610,,,
504,1,Research & Development,56600,,,
505,2,Sales,48210,,,
506,1,Research & Development,64100,,,
507,2,Research & Development,52100,,,
508,2,Sales,26950,,,
509,1,Research & Development,118780,,,
510,1,Research & Development,170680,,,
511,5,Human Resources,24550,,,
512,2,Research & Development,139640,,,
513,3,Research & Development,49410,,,
514,2,Research & Development,24780,,,
515,2,Research & Development,52280,,,
516,2,Research & Development,44780,,,
517,2,Research & Development,75470,,,
518,3,Sales,50550,,,
519,3,Sales,34640,,,
520,1,Research & Development,57750,,,
521,3,Sales,89430,,,
522,2,Sales,192720,,,
523,4,Research & Development,52380,,,
524,2,Research & Development,46820,,,
525,1,Research & Development,183000,,,
526,1,Sales,52570,,,
527,1,Research & Development,63490,,,
528,1,Sales,48690,,,
529,2,Sales,99850,,,
530,3,Research & Development,36970,,,
531,2,Research & Development,74570,,,
532,2,Research & Development,21190,,,
533,4,Sales,39830,,,
534,3,Sales,61180,,,
535,1,Research & Development,62140,,,
536,2,Human Resources,63470,,,
537,1,Sales,115100,,,
538,4,Research & Development,71430,,,
539,2,Human Resources,82680,,,
540,2,Sales,80950,,,
541,4,Research & Development,29040,,,
542,4,Research & Development,60320,,,
543,2,Research & Development,29760,,,
544,2,Research & Development,159920,,,
545,2,Sales,46490,,,
546,2,Sales,26960,,,
547,2,Sales,23700,,,
548,2,Research & Development,125040,,,
549,1,Sales,59740,,,
550,1,Research & Development,47360,,,
551,4,Research & Development,52960,,,
552,4,Human Resources,67810,,,
553,3,Research & Development,21740,,,
554,1,Research & Development,66530,,,
555,2,Research & Development,96990,,,
556,2,Sales,67550,,,
557,1,Research & Development,22130,,,
558,1,Research & Development,26100,,,
559,1,Research & Development,28510,,,
560,3,Research & Development,34520,,,
561,1,Research & Development,52580,,,
562,1,Sales,93550,,,
563,1,Research & Development,104960,,,
564,1,Sales,63800,,,
565,2,Sales,26570,,,
566,3,Research & Development,27160,,,
567,1,Sales,22010,,,
568,2,Sales,65400,,,
569,1,Research & Development,38160,,,
570,1,Sales,52530,,,
571,3,Research & Development,109650,,,
572,1,Research & Development,49360,,,
573,2,Research & Development,25430,,,
574,1,Sales,53040,,,
575,3,Research & Development,166590,,,
576,1,Research & Development,42600,,,
577,2,Sales,24760,,,
578,3,Research & Development,31020,,,
579,1,Research & Development,22440,,,
580,4,Research & Development,75960,,,
581,1,Sales,22850,,,
582,4,Research & Development,30340,,,
583,1,Research & Development,57150,,,
584,1,Sales,25760,,,
585,2,Research & Development,41970,,,
586,2,Research & Development,143360,,,
587,1,Research & Development,34480,,,
588,2,Research & Development,194060,,,
589,2,Research & Development,65380,,,
590,1,Research & Development,43060,,,
591,2,Research & Development,22580,,,
592,3,Sales,45220,,,
593,2,Research & Development,44870,,,
594,2,Research & Development,44490,,,
595,1,Research & Development,22180,,,
596,2,Research & Development,191970,,,
597,2,Research & Development,132120,,,
598,3,Research & Development,65770,,,
599,5,Research & Development,83920,,,
600,3,Human Resources,45580,,,
601,1,Research & Development,40310,,,
602,1,Research & Development,79690,,,
603,1,Research & Development,26540,,,
604,2,Research & Development,165550,,,
605,1,Research & Development,45560,,,
606,1,Research & Development,60910,,,
607,2,Research & Development,195660,,,
608,3,Sales,48100,,,
609,1,Sales,45230,,,
610,2,Research & Development,32020,,,
611,2,Research & Development,23510,,,
612,3,Research & Development,17020,,,
613,1,Sales,180410,,,
614,3,Human Resources,28860,,,
615,1,Research & Development,20970,,,
616,2,Research & Development,119350,,,
617,1,Sales,25460,,,
618,2,Research & Development,25640,,,
619,1,Research & Development,84120,,,
620,1,Sales,141180,,,
621,5,Research & Development,170460,,,
622,2,Sales,25640,,,
623,1,Sales,102660,,,
624,2,Research & Development,50700,,,
625,4,Sales,178610,,,
626,1,Sales,42300,,,
627,2,Research & Development,37800,,,
628,1,Research & Development,27680,,,
629,1,Sales,90710,,,
630,1,Human Resources,106480,,,
631,2,Research & Development,136100,,,
632,3,Research & Development,34080,,,
633,2,Research & Development,29830,,,
634,5,Human Resources,76320,,,
635,3,Sales,98240,,,
636,1,Research & Development,99500,,,
637,2,Research & Development,20930,,,
638,2,Research & Development,99800,,,
639,1,Sales,38940,,,
640,1,Research & Development,40510,,,
641,3,Research & Development,168350,,,
642,2,Sales,62300,,,
643,1,Sales,47170,,,
644,2,Research & Development,132370,,,
645,2,Research & Development,37550,,,
646,1,Sales,65820,,,
647,2,Sales,74060,,,
648,2,Research & Development,48050,,,
649,2,Sales,27410,,,
650,1,Research & Development,42620,,,
651,2,Research & Development,161840,,,
652,3,Sales,115570,,,
653,3,Sales,18780,,,
654,1,Research & Development,109320,,,
655,2,Human Resources,68110,,,
656,2,Human Resources,43060,,,
657,2,Research & Development,48590,,,
658,4,Research & Development,53370,,,
659,1,Research & Development,23400,,,
660,3,Sales,74910,,,
661,2,Research & Development,105270,,,
662,2,Research & Development,165950,,,
663,3,Sales,88340,,,
664,1,Research & Development,55770,,,
665,2,Research & Development,47070,,,
666,2,Sales,24000,,,
667,4,Research & Development,98240,,,
668,1,Research & Development,64470,,,
669,1,Research & Development,195020,,,
670,1,Research & Development,27250,,,
671,2,Research & Development,62720,,,
672,2,Research & Development,21270,,,
673,2,Sales,182000,,,
674,1,Research & Development,20960,,,
675,1,Research & Development,28860,,,
676,2,Sales,20330,,,
677,1,Research & Development,36220,,,
678,1,Research & Development,42330,,,
679,3,Research & Development,36810,,,
680,1,Sales,54600,,,
681,2,Research & Development,21870,,,
682,1,Research & Development,96020,,,
683,2,Research & Development,28360,,,
684,4,Sales,40890,,,
685,2,Sales,166270,,,
686,1,Sales,26190,,,
687,5,Research & Development,56790,,,
688,5,Research & Development,154020,,,
689,1,Sales,59850,,,
690,3,Research & Development,25790,,,
691,1,Research & Development,30410,,,
692,2,Research & Development,34470,,,
693,1,Research & Development,195130,,,
694,1,Sales,27730,,,
695,1,Research & Development,71040,,,
696,1,Sales,63220,,,
697,2,Research & Development,20830,,,
698,2,Sales,83810,,,
699,3,Sales,26910,,,
700,1,Research & Development,42860,,,
701,2,Research & Development,26590,,,
702,2,Sales,94340,,,
703,2,Sales,55610,,,
704,2,Sales,66460,,,
705,4,Sales,77250,,,
706,1,Sales,107250,,,
707,2,Sales,88470,,,
708,4,Research & Development,20450,,,
709,2,Sales,10090,,,
710,1,Research & Development,33480,,,
711,1,Sales,12810,,,
712,2,Research & Development,28190,,,
713,2,Research & Development,48510,,,
714,3,Research & Development,40280,,,
715,2,Research & Development,27200,,,
716,2,Research & Development,81200,,,
717,1,Research & Development,46470,,,
718,1,Research & Development,46800,,,
719,2,Research & Development,32210,,,
720,2,Sales,86210,,,
721,2,Research & Development,45770,,,
722,1,Research & Development,45530,,,
723,2,Research & Development,53960,,,
724,1,Research & Development,67960,,,
725,2,Research & Development,76250,,,
726,2,Research & Development,74120,,,
727,2,Research & Development,111590,,,
728,2,Research & Development,49600,,,
729,2,Research & Development,104750,,,
730,2,Research & Development,148140,,,
731,4,Research & Development,191410,,,
732,1,Research & Development,54050,,,
733,1,Research & Development,87930,,,
734,5,Research & Development,191890,,,
735,2,Research & Development,38750,,,
736,1,Research & Development,22160,,,
737,2,Research & Development,117130,,,
738,1,Research & Development,78610,,,
739,1,Research & Development,37080,,,
740,1,Research & Development,137700,,,
741,3,Research & Development,53040,,,
742,3,Sales,26420,,,
743,1,Research & Development,27590,,,
744,2,Research & Development,68040,,,
745,2,Research & Development,61420,,,
746,2,Research & Development,25000,,,
747,1,Research & Development,63890,,,
748,1,Sales,111030,,,
749,2,Sales,23420,,,
750,2,Sales,68110,,,
751,2,Sales,22970,,,
752,2,Sales,24500,,,
753,3,Research & Development,50930,,,
754,2,Research & Development,53090,,,
755,2,Sales,30570,,,
756,3,Sales,51210,,,
757,1,Research & Development,168560,,,
758,5,Sales,26860,,,
759,1,Sales,61800,,,
760,4,Human Resources,66320,,,
761,2,Sales,35050,,,
762,3,Research & Development,63970,,,
763,2,Research & Development,62740,,,
764,2,Sales,198590,,,
765,1,Sales,75870,,,
766,2,Research & Development,42580,,,
767,2,Research & Development,43640,,,
768,1,Research & Development,43350,,,
769,1,Sales,53260,,,
770,1,Research & Development,32800,,,
771,3,Research & Development,54850,,,
772,1,Sales,43420,,,
773,2,Research & Development,27820,,,
774,1,Research & Development,59800,,,
775,2,Research & Development,43810,,,
776,2,Sales,25720,,,
777,1,Sales,38330,,,
778,3,Research & Development,42440,,,
779,1,Research & Development,65000,,,
780,1,Research & Development,184300,,,
781,2,Research & Development,16010,,,
782,2,Research & Development,26940,,,
783,1,Research & Development,31490,,,
784,1,Research & Development,176390,,,
785,1,Research & Development,23190,,,
786,2,Research & Development,116910,,,
787,3,Research & Development,53240,,,
788,3,Research & Development,167520,,,
789,3,Research & Development,52280,,,
790,2,Human Resources,27000,,,
791,1,Research & Development,192460,,,
792,1,Sales,25060,,,
793,1,Research & Development,60620,,,
794,5,Research & Development,43820,,,
795,1,Research & Development,21430,,,
796,3,Sales,61620,,,
797,2,Research & Development,50940,,,
798,2,Research & Development,68770,,,
799,1,Research & Development,22740,,,
800,5,Research & Development,44340,,,
801,1,Research & Development,62880,,,
802,4,Sales,25530,,,
803,2,Sales,76540,,,
804,2,Research & Development,51600,,,
805,2,Research & Development,171590,,,
806,1,Sales,128080,,,
807,3,Research & Development,102210,,,
808,2,Sales,47790,,,
809,2,Research & Development,37370,,,
810,2,Research & Development,23660,,,
811,2,Sales,17060,,,
812,1,Sales,163070,,,
813,2,Research & Development,59330,,,
814,1,Research & Development,34240,,,
815,1,Research & Development,40370,,,
816,2,Research & Development,25590,,,
817,1,Research & Development,62010,,,
818,3,Research & Development,44030,,,
819,4,Sales,37610,,,
820,2,Research & Development,109340,,,
821,1,Sales,107610,,,
822,2,Sales,51750,,,
823,3,Research & Development,138260,,,
824,2,Research & Development,63340,,,
825,2,Research & Development,49360,,,
826,2,Research & Development,47750,,,
827,2,Human Resources,28180,,,
828,2,Research & Development,25150,,,
829,1,Research & Development,23420,,,
830,1,Sales,41940,,,
831,1,Research & Development,106850,,,
832,1,Research & Development,20220,,,
833,1,Research & Development,23140,,,
834,1,Research & Development,42560,,,
835,3,Sales,35800,,,
836,2,Human Resources,31620,,,
837,1,Sales,65240,,,
838,2,Research & Development,28990,,,
839,1,Sales,52310,,,
840,1,Sales,23560,,,
841,1,Research & Development,28000,,,
842,3,Research & Development,118360,,,
843,1,Research & Development,109030,,,
844,1,Research & Development,29730,,,
845,4,Sales,142750,,,
846,1,Research & Development,55620,,,
847,2,Research & Development,45370,,,
848,1,Research & Development,76420,,,
849,3,Research & Development,179240,,,
850,1,Sales,52040,,,
851,1,Sales,22770,,,
852,5,Research & Development,27950,,,
853,1,Research & Development,25320,,,
854,2,Research & Development,25590,,,
855,3,Research & Development,49080,,,
856,5,Research & Development,23800,,,
857,1,Research & Development,47650,,,
858,2,Research & Development,20440,,,
859,1,Research & Development,26930,,,
860,2,Research & Development,65860,,,
861,1,Research & Development,32940,,,
862,1,Sales,41710,,,
863,1,Research & Development,27780,,,
864,1,Human Resources,23770,,,
865,1,Research & Development,24040,,,
866,2,Sales,23180,,,
867,1,Sales,20080,,,
868,1,Research & Development,62440,,,
869,1,Research & Development,27990,,,
870,3,Research & Development,105520,,,
871,2,Sales,23290,,,
872,5,Research & Development,40140,,,
873,2,Sales,74030,,,
874,1,Research & Development,22590,,,
875,2,Research & Development,69320,,,
876,1,Research & Development,46780,,,
877,3,Sales,135820,,,
878,1,Research & Development,23320,,,
879,2,Human Resources,24130,,,
880,3,Sales,97050,,,
881,2,Research & Development,42940,,,
882,3,Research & Development,47210,,,
883,3,Research & Development,25190,,,
884,1,Research & Development,21210,,,
885,2,Sales,29730,,,
886,2,Sales,58550,,,
887,2,Research & Development,36170,,,
888,2,Research & Development,67250,,,
889,5,Sales,103250,,,
890,3,Research & Development,69490,,,
891,3,Research & Development,106090,,,
892,4,Research & Development,44470,,,
893,2,Research & Development,21570,,,
894,3,Research & Development,46010,,,
895,1,Research & Development,170990,,,
896,1,Research & Development,24790,,,
897,2,Research & Development,148520,,,
898,1,Sales,72640,,,
899,1,Research & Development,56660,,,
900,2,Research & Development,78230,,,
901,1,Research & Development,78800,,,
902,2,Research & Development,131940,,,
903,2,Research & Development,50670,,,
